16
0.000388, 0.000203, 0.000591
0.000406, 0.000209, 0.000615
0.000410, 0.000203, 0.000612
0.000410, 0.000203, 0.000613
0.000490, 0.000209, 0.000699
0.000406, 0.000202, 0.000608
0.000439, 0.000203, 0.000642
0.000445, 0.000203, 0.000648
0.000407, 0.000203, 0.000611
0.000417, 0.000204, 0.000621
32
0.000565, 0.000764, 0.001329
0.000697, 0.000791, 0.001487
0.000571, 0.000747, 0.001318
0.000354, 0.000497, 0.000850
0.000358, 0.000496, 0.000854
0.000365, 0.000497, 0.000862
0.000359, 0.000496, 0.000855
0.000377, 0.000496, 0.000873
0.000375, 0.000498, 0.000873
0.000359, 0.000497, 0.000856
64
0.000757, 0.001913, 0.002671
0.000754, 0.001899, 0.002652
0.000569, 0.001435, 0.002004
0.000569, 0.001425, 0.001994
0.000569, 0.001423, 0.001992
0.000376, 0.000948, 0.001324
0.000374, 0.000955, 0.001329
0.000381, 0.000949, 0.001330
0.000423, 0.000957, 0.001380
0.000371, 0.000949, 0.001320
128
0.001147, 0.003694, 0.004841
0.000898, 0.002771, 0.003669
0.000666, 0.002149, 0.002815
0.000698, 0.002167, 0.002865
0.000746, 0.002159, 0.002905
0.000683, 0.002167, 0.002850
0.000695, 0.002148, 0.002843
0.001040, 0.002234, 0.003274
0.000677, 0.002167, 0.002844
0.000736, 0.002158, 0.002893
256
0.002586, 0.008471, 0.011058
0.002620, 0.008484, 0.011104
0.002696, 0.008518, 0.011214
0.002652, 0.008458, 0.011110
0.002550, 0.008461, 0.011010
0.002597, 0.008464, 0.011061
0.002543, 0.008495, 0.011038
0.002703, 0.008509, 0.011213
0.002673, 0.008504, 0.011178
0.002630, 0.008474, 0.011105
512
0.010030, 0.034152, 0.044181
0.010124, 0.033971, 0.044096
0.010081, 0.034114, 0.044195
0.010157, 0.034373, 0.044530
0.010196, 0.034227, 0.044424
0.010391, 0.034141, 0.044532
0.010237, 0.034095, 0.044332
0.010246, 0.033918, 0.044164
0.010226, 0.034029, 0.044255
0.010296, 0.034015, 0.044311
1024
0.039879, 0.133825, 0.173703
0.040297, 0.133867, 0.174164
0.040576, 0.133978, 0.174553
0.040031, 0.134012, 0.174043
0.039942, 0.134130, 0.174073
0.040079, 0.133848, 0.173927
0.041003, 0.134583, 0.175587
0.040216, 0.133840, 0.174056
0.040153, 0.133682, 0.173834
0.040214, 0.133916, 0.174130
2048
0.178321, 0.531992, 0.710313
0.172706, 0.532176, 0.704882
0.174954, 0.532132, 0.707086
0.189273, 0.532170, 0.721443
0.182249, 0.533174, 0.715422
0.183088, 0.531897, 0.714985
0.183685, 0.533046, 0.716731
0.184694, 0.532196, 0.716890
0.193246, 0.532162, 0.725408
0.187518, 0.534162, 0.721680
4096
0.750042, 2.143145, 2.893187
1.612211, 2.142445, 3.754656
1.103872, 2.246846, 3.350718
0.777938, 2.229512, 3.007450
0.777972, 2.168024, 2.945997
0.784464, 2.330060, 3.114524
0.775971, 2.190657, 2.966628
1.065977, 2.300311, 3.366288
0.778135, 2.315734, 3.093869
0.776064, 2.281357, 3.057421
8192
3.233575, 8.844522, 12.078097
3.057324, 8.561412, 11.618736
3.130499, 8.657971, 11.788470
3.161007, 8.568892, 11.729899
3.228266, 8.757090, 11.985356
3.116813, 8.758741, 11.875554
3.117244, 8.700031, 11.817275
3.078553, 8.591478, 11.670031
3.109294, 8.598657, 11.707951
3.048485, 8.607746, 11.656231
